Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:00000378487000000,1211 CASA VALE DR,,,,1950,1950,"$2,720 ",ONE STORY,968,$87.17 ,968,$87.17 ,4,AVERAGE,0.5,"$84,380 ","$74,640 ",13.0493,,,
Acct:00000378235000000,1216 CASA VALE DR,,,,1950,1950,,ONE STORY,900,$79.80 ,900,$79.80 ,4,FAIR,0.6,"$71,820 ","$60,000 ",19.7,,,
Acct:00000378490000000,1217 CASA VALE DR,,,,1950,1950,,ONE STORY,914,$69.41 ,914,$69.41 ,4,FAIR,0.6,"$63,440 ","$60,430 ",4.981,,,
Acct:00000378238000000,1222 CASA VALE DR,,,,1950,1950,"$1,000 ",ONE STORY,968,$70.97 ,968,$70.97 ,4,FAIR,0.6,"$68,700 ","$59,800 ",14.8829,,,
Acct:00000378493000000,1223 CASA VALE DR,,,,1950,1970,,ONE STORY,762,$96.05 ,762,$96.05 ,4,FAIR,0.55,"$73,190 ","$63,570 ",15.1329,,,
Acct:00000378241000000,1230 CASA VALE DR,,,,1950,1950,"$2,280 ",ONE STORY,813,$74.98 ,813,$74.98 ,4,FAIR,0.6,"$60,960 ","$57,660 ",5.7232,,,
Acct:00000378496000000,1231 CASA VALE DR,,,,1950,1950,,ONE STORY,792,$77.66 ,792,$77.66 ,4,FAIR,0.6,"$61,510 ","$58,480 ",5.1813,,,
Acct:00000378244000000,1236 CASA VALE DR,,,,1959,1959,"$4,200 ",ONE STORY,1306,$83.17 ,1306,$83.17 ,4,AVERAGE,0.5,"$108,620 ","$94,880 ",14.4815,,,
Acct:00000378499000000,1237 CASA VALE DR,,,,1950,1950,,ONE STORY,900,$94.27 ,900,$94.27 ,4,AVERAGE,0.5,"$84,840 ","$73,690 ",15.131,,,
Acct:00000378502000000,1243 CASA VALE DR,,,,1950,1950,,ONE STORY,1004,$83.07 ,1004,$83.07 ,4,AVERAGE,0.5,"$83,400 ","$72,440 ",15.1298,,,
Acct:00000378505000000,1303 CASA VALE DR,,,,1950,1950,,ONE STORY,920,$78.39 ,920,$78.39 ,4,FAIR,0.6,"$72,120 ","$60,630 ",18.951,,,
Acct:00000378268000000,1304 CASA VALE DR,,,,1950,1950,,ONE STORY,1038,$90.31 ,1038,$90.31 ,4,AVERAGE,0.5,"$93,740 ","$81,410 ",15.1456,,,
Acct:00000378508000000,1307 CASA VALE DR,,,,1950,1950,"$1,590 ",ONE STORY,1216,$71.81 ,1216,$71.81 ,4,AVERAGE,0.5,"$87,320 ","$82,100 ",6.3581,11/15/12,MARKET SALE,"$75,000 "
