Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:28243040300010000,4300 BARDIN RD,,,,1991,1991,"$8,000 ",TWO STORIES,1769,$89.65 ,1769,$89.65 ,14,GOOD,0.3,"$158,590 ","$139,790 ",13.4487,,,
Acct:28243040300020000,4304 BARDIN RD,,,,1987,1987,,TWO STORIES,2136,$73.69 ,2136,$73.69 ,14,GOOD,0.35,"$157,400 ","$146,230 ",7.6387,,,
Acct:28243040300030000,4308 BARDIN RD,,,,1987,1987,,TWO STORIES,1947,$77.17 ,1947,$77.17 ,14,GOOD,0.35,"$150,250 ","$139,530 ",7.6829,,,
Acct:28243040300040000,4312 BARDIN RD,,,,1987,1987,,TWO STORIES,1654,$83.78 ,1654,$83.78 ,14,GOOD,0.35,"$138,570 ","$128,600 ",7.7527,,,
Acct:28243040300050000,4316 BARDIN RD,,,,1998,1998,,TWO STORIES,2262,$85.20 ,2262,$85.20 ,14,GOOD,0.2,"$192,730 ","$168,410 ",14.4409,,,
Acct:28243060280010000,4531 BOWIE LN,,,,1996,1996,,ONE STORY,2008,$83.28 ,2008,$83.28 ,14,AVERAGE,0.3,"$167,220 ","$146,240 ",14.3463,,,
Acct:28243060280020000,4535 BOWIE LN,,,,1997,1997,,TWO STORIES,2083,$84.64 ,2083,$84.64 ,14,GOOD,0.25,"$176,310 ","$162,620 ",8.4184,,,
Acct:28243060280030000,4539 BOWIE LN,,,,1997,1997,,ONE STORY,1558,$97.31 ,1558,$97.31 ,14,GOOD,0.25,"$151,610 ","$139,720 ",8.5099,,,
Acct:28243060280040000,4543 BOWIE LN,,,,1996,1996,,ONE AND ONE HALF STORIES,2276,$79.82 ,2276,$79.82 ,14,GOOD,0.25,"$181,680 ","$158,810 ",14.4009,,,
Acct:28243060280050000,4547 BOWIE LN,,,,1996,1996,,TWO STORIES,1851,$84.45 ,1851,$84.45 ,14,AVERAGE,0.3,"$156,320 ","$136,770 ",14.2941,,,
Acct:28243060280060000,4551 BOWIE LN,3,"$5,000 ",$0 ,1996,1996,,ONE STORY,1684,$95.01 ,1684,$95.01 ,14,GOOD,0.25,"$159,990 ","$139,960 ",14.3112,12/10/15,REMODEL BEFORE SALE,"$160,000 "
Acct:28243060280070000,4555 BOWIE LN,,,,1996,1996,,ONE AND ONE HALF STORIES,2230,$80.48 ,2230,$80.48 ,14,GOOD,0.25,"$179,480 ","$156,890 ",14.3986,12/30/15,MARKET SALE,"$175,000 "
Acct:28243060280080000,4559 BOWIE LN,,,,1997,1997,,ONE STORY,1520,$98.11 ,1520,$98.11 ,14,GOOD,0.25,"$149,120 ","$137,420 ",8.514,,,
Acct:28243060280090000,4563 BOWIE LN,,,,1992,1992,,TWO STORIES,2052,$77.26 ,2052,$77.26 ,14,AVERAGE,0.35,"$158,540 ","$147,180 ",7.7184,2/7/14,MARKET SALE,"$144,000 "
Acct:28243040330320000,808 CHAPARRAL DR,,,,1995,1995,"$2,000 ",TWO STORIES,2210,$83.45 ,2210,$83.45 ,14,GOOD,0.25,"$184,430 ","$161,450 ",14.2335,,,
Acct:28243040330310000,812 CHAPARRAL DR,,,,1995,1995,,ONE AND ONE HALF STORIES,2230,$80.48 ,2230,$80.48 ,14,GOOD,0.25,"$179,480 ","$156,890 ",14.3986,,,
Acct:28243040330300000,816 CHAPARRAL DR,,,,1996,1996,,ONE STORY,2180,$82.55 ,2180,$82.55 ,14,GOOD,0.25,"$179,950 ","$157,300 ",14.3992,,,
Acct:28243060310200000,817 CHAPARRAL DR,,,,1992,1992,,ONE AND ONE HALF STORIES,3199,$65.45 ,3199,$65.45 ,14,GOOD,0.3,"$209,380 ","$194,010 ",7.9223,,,
Acct:28243040330290000,820 CHAPARRAL DR,,,,1996,1996,,ONE STORY,1840,$91.51 ,1840,$91.51 ,14,GOOD,0.25,"$168,370 ","$147,240 ",14.3507,8/23/12,MARKET SALE,"$140,000 "
