Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:28243210070160000,4660 HEATHERBROOK LN,,,,1992,1992,,ONE AND ONE HALF STORIES,1909,$76.18 ,1909,$76.18 ,16,GOOD,0.3,"$145,430 ","$139,810 ",4.0197,,,
Acct:28243210090090000,4663 HEATHERBROOK LN,,,,1987,1987,,ONE AND ONE HALF STORIES,1801,$74.83 ,1801,$74.83 ,16,GOOD,0.35,"$134,770 ","$130,180 ",3.5259,8/12/13,MARKET SALE,"$129,900 "
Acct:28243210070170000,4664 HEATHERBROOK LN,,,,1992,1992,,TWO STORIES,1758,$82.77 ,1758,$82.77 ,16,GOOD,0.3,"$145,510 ","$139,890 ",4.0174,,,
Acct:28243210090100000,4667 HEATHERBROOK LN,,,,1987,1987,,ONE STORY,1700,$81.60 ,1700,$81.60 ,16,GOOD,0.35,"$138,720 ","$133,970 ",3.5456,,,
Acct:28243210070180000,4668 HEATHERBROOK LN,3,"$7,500 ",$0 ,1988,1988,,ONE STORY,1716,$84.76 ,1716,$84.76 ,16,GOOD,0.3,"$145,440 ","$132,500 ",9.766,,,
Acct:28243210070190000,4672 HEATHERBROOK LN,,,,1988,1988,,ONE AND ONE HALF STORIES,1784,$79.79 ,1784,$79.79 ,16,GOOD,0.3,"$142,340 ","$129,750 ",9.7033,,,
Acct:28243210070200000,4676 HEATHERBROOK LN,,,,1988,1988,,ONE AND ONE HALF STORIES,1882,$78.55 ,1882,$78.55 ,16,GOOD,0.3,"$147,830 ","$134,630 ",9.8046,,,
Acct:28243210020050000,202 KENSINGTON CT,,,,1987,1987,,ONE STORY,1780,$86.76 ,1780,$86.76 ,16,VERY GOOD,0.3,"$154,440 ","$135,160 ",14.2646,8/10/15,MARKET SALE,"$159,900 "
Acct:282432100320R0000,203 KENSINGTON CT,3,"$9,700 ",$0 ,1988,1988,,ONE AND ONE HALF STORIES,2131,$73.23 ,2131,$73.23 ,16,GOOD,0.3,"$156,050 ","$141,920 ",9.9563,,,
Acct:282432100321R0000,207 KENSINGTON CT,,,,1988,1988,,ONE STORY,1722,$74.61 ,1722,$74.61 ,16,FAIR,0.4,"$128,470 ","$117,430 ",9.4013,9/26/12,FORECLOSURE,"$82,500 "
Acct:28243210030220000,211 KENSINGTON CT,,,,1995,1995,,ONE STORY,1550,$93.74 ,1550,$93.74 ,16,GOOD,0.25,"$145,300 ","$132,380 ",9.7598,,,
Acct:28243210030230000,215 KENSINGTON CT,Z,"$5,865 ",$0 ,1995,1995,,ONE STORY,1570,$93.41 ,1570,$93.41 ,16,GOOD,0.25,"$146,650 ","$131,410 ",11.5973,7/1/13,MARKET SALE,"$129,900 "
Acct:28243210030240000,219 KENSINGTON CT,,,,1988,1988,,ONE AND ONE HALF STORIES,2323,$70.59 ,2323,$70.59 ,16,GOOD,0.3,"$163,980 ","$148,960 ",10.0832,,,
Acct:28243210030250000,223 KENSINGTON CT,,,,1987,1987,,ONE STORY,1722,$79.37 ,1722,$79.37 ,16,GOOD,0.35,"$136,670 ","$132,010 ",3.53,,,
Acct:28243210030320000,4502 KENSINGTON CT,,,,1988,1988,,ONE STORY,1780,$85.08 ,1780,$85.08 ,16,GOOD,0.3,"$151,440 ","$135,160 ",12.045,,,
Acct:28243210020010000,4505 KENSINGTON CT,,,,1987,1987,,ONE STORY,1722,$81.11 ,1722,$81.11 ,16,GOOD,0.35,"$139,670 ","$132,010 ",5.8026,,,
Acct:28243210030310000,4506 KENSINGTON CT,,,,1995,1995,,ONE STORY,1703,$86.76 ,1703,$86.76 ,16,GOOD,0.25,"$147,750 ","$138,620 ",6.5864,,,
Acct:28243210020020000,4509 KENSINGTON CT,,,,1988,1988,,ONE STORY,1764,$83.59 ,1764,$83.59 ,16,GOOD,0.3,"$147,460 ","$134,290 ",9.8071,,,
Acct:28243210030300000,4510 KENSINGTON CT,,,,1994,1994,,ONE STORY,1566,$93.81 ,1566,$93.81 ,16,GOOD,0.25,"$146,910 ","$133,800 ",9.7982,4/23/14,MARKET SALE,"$135,000 "
Acct:28243210020030000,4513 KENSINGTON CT,,,,1992,1992,"$20,000 ",ONE AND ONE HALF STORIES,1909,$82.34 ,1909,$82.34 ,16,AVERAGE,0.35,"$157,180 ","$152,490 ",3.0756,,,
Acct:282432100329R0000,4514 KENSINGTON CT,,,,1988,1988,,ONE STORY,1722,$84.13 ,1722,$84.13 ,16,GOOD,0.3,"$144,880 ","$132,010 ",9.7493,,,
Acct:28243210020040000,4517 KENSINGTON CT,,,,1987,1987,,ONE AND ONE HALF STORIES,2110,$69.41 ,2110,$69.41 ,16,GOOD,0.35,"$146,450 ","$141,350 ",3.6081,,,
Acct:282432100327R0000,4522 KENSINGTON CT,,,,1988,1988,,ONE STORY,1595,$87.77 ,1595,$87.77 ,16,GOOD,0.3,"$139,990 ","$127,670 ",9.6499,8/24/12,MARKET SALE,"$113,900 "
Acct:282432100326R0000,4526 KENSINGTON CT,,,,1988,1988,,ONE STORY,1600,$82.77 ,1600,$82.77 ,16,AVERAGE,0.35,"$132,430 ","$120,950 ",9.4915,,,
Acct:282432100421R0000,4502 ROSEMONT AVE,,,,1991,1991,,TWO STORIES,3350,$63.47 ,3350,$63.47 ,16,GOOD,0.3,"$212,630 ","$189,500 ",12.2058,,,
Acct:282432100301R0000,4503 ROSEMONT AVE,,,,1992,1992,,ONE STORY,2129,$78.97 ,2129,$78.97 ,16,GOOD,0.3,"$168,120 ","$158,550 ",6.036,,,
Acct:282432100420R0000,4506 ROSEMONT AVE,2,"$30,000 ","$25,000 ",1991,1991,"$21,000 ",ONE STORY,2003,$90.14 ,2003,$90.14 ,16,GOOD,0.3,"$180,550 ","$153,250 ",17.814,,,
Acct:282432100302R0000,4507 ROSEMONT AVE,,,,1995,1995,,ONE STORY,1713,$74.95 ,1713,$74.95 ,16,POOR,0.4,"$128,390 ","$124,650 ",3.0004,,,
Acct:282432100419R0000,4510 ROSEMONT AVE,,,,1991,1991,,ONE STORY,2344,$74.47 ,2344,$74.47 ,16,GOOD,0.3,"$174,550 ","$158,350 ",10.2305,,,
Acct:282432100303R0000,4511 ROSEMONT AVE,3,"$6,329 ",$0 ,1995,1995,,ONE STORY,1735,$89.70 ,1735,$89.70 ,16,GOOD,0.25,"$155,630 ","$141,550 ",9.947,,,
Acct:282432100418R0000,4514 ROSEMONT AVE,,,,1991,1991,,ONE STORY,2003,$79.66 ,2003,$79.66 ,16,GOOD,0.3,"$159,550 ","$145,030 ",10.0117,10/9/13,MARKET SALE,"$145,500 "
Acct:282432100304R0000,4515 ROSEMONT AVE,,,,1996,1996,,ONE STORY,1698,$90.88 ,1698,$90.88 ,16,GOOD,0.25,"$154,320 ","$140,390 ",9.9224,,,
Acct:282432100417R0000,4518 ROSEMONT AVE,,,,1992,1992,,TWO STORIES,2783,$67.69 ,2783,$67.69 ,16,GOOD,0.3,"$188,380 ","$180,680 ",4.2617,,,
Acct:282432100305R0000,4519 ROSEMONT AVE,,,,1996,1996,,ONE STORY,1934,$84.99 ,1934,$84.99 ,16,GOOD,0.25,"$164,380 ","$149,320 ",10.0857,3/14/14,MARKET SALE,"$149,900 "
Acct:282432100416R0000,4522 ROSEMONT AVE,,,,1993,1993,,ONE AND ONE HALF STORIES,3004,$64.19 ,3004,$64.19 ,16,AVERAGE,0.3,"$192,820 ","$180,000 ",7.1222,,,
Acct:282432100306R0000,4523 ROSEMONT AVE,,,,1995,1995,,ONE STORY,1948,$84.78 ,1948,$84.78 ,16,GOOD,0.25,"$165,160 ","$158,010 ",4.525,,,
Acct:282432100415R0000,4526 ROSEMONT AVE,,,,1997,1997,,ONE STORY,2056,$78.47 ,2056,$78.47 ,16,AVERAGE,0.3,"$161,330 ","$154,940 ",4.1242,,,
Acct:282432100307R0000,4527 ROSEMONT AVE,,,,1995,1995,,ONE STORY,1780,$88.72 ,1780,$88.72 ,16,GOOD,0.25,"$157,920 ","$143,580 ",9.9875,,,
Acct:282432100414R0000,4530 ROSEMONT AVE,,,,1995,1995,,ONE STORY,1834,$83.53 ,1834,$83.53 ,16,AVERAGE,0.3,"$153,190 ","$139,380 ",9.9082,,,
Acct:282432100308R0000,4531 ROSEMONT AVE,,,,1995,1995,,ONE STORY,1928,$85.06 ,1928,$85.06 ,16,GOOD,0.25,"$164,000 ","$148,980 ",10.0819,,,
Acct:282432100413R0000,4534 ROSEMONT AVE,,,,1993,1993,,ONE AND ONE HALF STORIES,2717,$70.38 ,2717,$70.38 ,16,GOOD,0.25,"$191,220 ","$173,150 ",10.436,,,
Acct:282432100309R0000,4535 ROSEMONT AVE,,,,1992,1992,,TWO STORIES,2797,$70.00 ,2797,$70.00 ,16,GOOD,0.3,"$195,790 ","$184,880 ",5.9011,,,
