Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:160207300A0080000,446 E BELT LINE RD,,,,1984,1984,,ONE STORY,884,$56.60 ,884,$56.60 ,14,AVERAGE,0.4,"$50,030 ","$44,570 ",12.2504,,,
Acct:160207300A0070000,448 E BELT LINE RD,,,,1984,1984,$960 ,ONE STORY,1180,$54.95 ,1180,$54.95 ,14,AVERAGE,0.4,"$64,840 ","$57,350 ",13.0602,,,
Acct:160207300A0100000,450 E BELT LINE RD,,,,1984,1984,,ONE STORY,1243,$53.50 ,1243,$53.50 ,14,AVERAGE,0.4,"$66,500 ","$58,610 ",13.4619,,,
Acct:160207300A0090000,452 E BELT LINE RD,,,,1984,1984,,ONE STORY,974,$57.15 ,974,$57.15 ,14,AVERAGE,0.4,"$55,660 ","$49,370 ",12.7405,,,
Acct:160207300A0120000,454 E BELT LINE RD,,,,1982,1982,,ONE STORY,1257,$47.20 ,1257,$47.20 ,14,AVERAGE,0.4,"$59,330 ","$52,500 ",13.0095,,,
Acct:160207300A0110000,456 E BELT LINE RD,,,,1982,1982,,ONE STORY,1011,$57.65 ,1011,$57.65 ,14,GOOD,0.35,"$58,280 ","$51,610 ",12.9239,,,
Acct:160207300A0140000,458 E BELT LINE RD,,,,1982,1982,,ONE STORY,1243,$50.39 ,1243,$50.39 ,14,AVERAGE,0.4,"$62,630 ","$55,310 ",13.2345,,,
Acct:160207300A0130000,460 E BELT LINE RD,,,,1982,1982,,ONE STORY,1089,$56.61 ,1089,$56.61 ,14,GOOD,0.35,"$61,650 ","$54,480 ",13.1608,,,
Acct:160206800V0040000,441 HIGHLAND DR,,,,1983,1983,$960 ,ONE STORY,1243,$51.16 ,1243,$51.16 ,14,AVERAGE,0.4,"$63,590 ","$56,270 ",13.0087,,,
Acct:160206800V0030000,443 HIGHLAND DR,,,,1983,1983,,ONE STORY,1326,$46.02 ,1326,$46.02 ,14,GOOD,0.35,"$61,020 ","$56,650 ",7.714,,,
Acct:160206800V0060000,445 HIGHLAND DR,,,,1983,1995,,ONE STORY,1084,$64.58 ,1084,$64.58 ,14,VERY GOOD,0.2,"$70,000 ","$63,830 ",9.6663,4/30/14,MARKET SALE,"$65,000 "
Acct:160206800V0050000,447 HIGHLAND DR,,,,1983,1983,,ONE STORY,917,$60.52 ,917,$60.52 ,14,GOOD,0.35,"$55,500 ","$49,240 ",12.7132,,,
Acct:160206800V0080000,453 HIGHLAND DR,,,,1982,1982,,ONE STORY,993,$54.81 ,993,$54.81 ,14,AVERAGE,0.4,"$54,430 ","$48,330 ",12.6216,,,
Acct:160206800V0070000,455 HIGHLAND DR,,,,1983,1983,,ONE STORY,1200,$54.45 ,1200,$54.45 ,14,GOOD,0.35,"$65,340 ","$57,630 ",13.3784,,,
Acct:160206800V0100000,457 HIGHLAND DR,,,,1983,2003,,ONE STORY,1011,$74.88 ,1011,$74.88 ,14,VERY GOOD,0.1,"$75,700 ","$60,520 ",25.0826,4/20/16,UNASSIGNED,"$92,000 "
Acct:160206800V0090000,459 HIGHLAND DR,,,,1983,1983,,ONE STORY,1084,$53.56 ,1084,$53.56 ,14,AVERAGE,0.4,"$58,060 ","$51,420 ",12.9133,8/28/12,FORECLOSURE,"$43,570 "
Acct:160206800V0120000,465 HIGHLAND DR,,,,1983,1983,,ONE STORY,1206,$54.07 ,1206,$54.07 ,14,GOOD,0.35,"$65,210 ","$57,520 ",13.3693,,,
Acct:160206800R0260000,466 S HIGHLAND DR,,,,1983,1983,,ONE STORY,1391,$45.07 ,1391,$45.07 ,14,AVERAGE,0.4,"$62,690 ","$55,370 ",13.2202,,,
Acct:160206800V0110000,467 HIGHLAND DR,,,,1983,1983,,ONE STORY,917,$60.52 ,917,$60.52 ,14,GOOD,0.35,"$55,500 ","$49,240 ",12.7132,,,
Acct:160206800R0270000,468 HIGHLAND DR,,,,1983,1983,,ONE STORY,1200,$51.09 ,1200,$51.09 ,14,AVERAGE,0.4,"$61,310 ","$54,190 ",13.139,,,
Acct:160206800V0140000,469 HIGHLAND DR,,,,1983,1983,,ONE STORY,1286,$50.56 ,1286,$50.56 ,14,AVERAGE,0.4,"$65,020 ","$57,360 ",13.3543,,,
Acct:160206800R0280000,470 HIGHLAND DR,,,,1983,1983,,ONE STORY,1084,$60.11 ,1084,$60.11 ,14,VERY GOOD,0.3,"$65,160 ","$57,470 ",13.3809,,,
Acct:160206800V0130000,471 HIGHLAND DR,,,,1983,1983,$840 ,ONE STORY,1011,$58.48 ,1011,$58.48 ,14,GOOD,0.35,"$59,120 ","$52,450 ",12.7169,,,
Acct:160206800R0290000,472 HIGHLAND DR,,,,1983,1983,,ONE STORY,917,$60.52 ,917,$60.52 ,14,GOOD,0.35,"$55,500 ","$49,240 ",12.7132,,,
Acct:160206800Q0440000,400 JONES ST,,,,1982,1982,,ONE STORY,1063,$56.94 ,1063,$56.94 ,14,GOOD,0.35,"$60,530 ","$53,520 ",13.0979,,,
Acct:160206800R0010000,401 JONES ST,,,,1982,1982,,ONE STORY,917,$60.52 ,917,$60.52 ,14,GOOD,0.35,"$55,500 ","$49,240 ",12.7132,,,
Acct:160206800Q0450000,402 JONES ST,,,,1982,2006,,ONE STORY,1206,$53.97 ,1206,$53.97 ,14,FAIR,0.25,"$65,090 ","$54,220 ",20.048,8/5/15,AUCTION SALE,"$113,159 "
Acct:160206800R0020000,403 JONES ST,,,,1982,2006,,ONE STORY,1200,$77.66 ,1200,$77.66 ,14,EXCELLENT,0.05,"$93,190 ","$57,630 ",61.704,10/27/15,ATYPICAL SALE,"$108,900 "
Acct:160206800Q0420000,404 JONES ST,,,,1982,1982,,ONE STORY,1200,$57.81 ,1200,$57.81 ,14,VERY GOOD,0.3,"$69,370 ","$54,190 ",28.0125,,,
Acct:160206800R0030000,405 JONES ST,,,,1982,1982,,ONE STORY,1089,$46.30 ,1089,$46.30 ,14,FAIR,0.5,"$50,420 ","$44,910 ",12.269,,,
Acct:160206800Q0430000,406 JONES ST,,,,1982,1982,,ONE STORY,1071,$57.19 ,1071,$57.19 ,14,GOOD,0.35,"$61,250 ","$54,140 ",13.1326,,,
Acct:160206800R0040000,407 JONES ST,,,,1982,1982,,ONE STORY,917,$56.96 ,917,$56.96 ,14,AVERAGE,0.4,"$52,230 ","$46,450 ",12.4435,,,
Acct:160206800Q0400000,412 JONES ST,0,"$3,869 ",$0 ,1982,1982,,ONE STORY,1011,$57.65 ,1011,$57.65 ,14,GOOD,0.35,"$58,280 ","$51,610 ",12.9239,,,
Acct:160206800R0050000,413 JONES ST,,,,1982,1982,,ONE STORY,1089,$60.05 ,1089,$60.05 ,14,VERY GOOD,0.3,"$65,390 ","$57,670 ",13.3865,,,
Acct:160206800Q0410000,414 JONES ST,,,,1982,1982,,ONE STORY,1089,$58.15 ,1089,$58.15 ,14,GOOD,0.35,"$63,320 ","$52,600 ",20.3802,,,
Acct:160206800R0060000,415 JONES ST,,,,1982,1982,,ONE STORY,1011,$54.20 ,1011,$54.20 ,14,AVERAGE,0.4,"$54,800 ","$48,640 ",12.6645,,,
Acct:160206800Q0380000,416 JONES ST,,,,1982,1982,,ONE STORY,1206,$45.15 ,1206,$45.15 ,14,FAIR,0.5,"$54,450 ","$48,340 ",12.6396,,,
Acct:160206800R0070000,417 JONES ST,,,,1982,1982,,ONE STORY,1243,$50.39 ,1243,$50.39 ,14,AVERAGE,0.4,"$62,630 ","$55,310 ",13.2345,,,
Acct:160206800Q0390000,418 JONES ST,,,,1982,1982,,ONE STORY,917,$60.52 ,917,$60.52 ,14,GOOD,0.35,"$55,500 ","$49,240 ",12.7132,,,
Acct:160206800R0080000,419 JONES ST,,,,1982,1982,,ONE STORY,917,$60.52 ,917,$60.52 ,14,GOOD,0.35,"$55,500 ","$49,240 ",12.7132,,,
Acct:160206800Q0360000,424 JONES ST,,,,1982,1982,,ONE STORY,917,$64.05 ,917,$64.05 ,14,VERY GOOD,0.3,"$58,730 ","$51,990 ",12.964,,,
Acct:160206800R0090000,425 JONES ST,,,,1982,1982,,ONE STORY,917,$60.52 ,917,$60.52 ,14,GOOD,0.35,"$55,500 ","$49,240 ",12.7132,,,
Acct:160206800Q0370000,426 JONES ST,,,,1982,1982,,ONE STORY,1206,$57.40 ,1206,$57.40 ,14,VERY GOOD,0.3,"$69,230 ","$60,940 ",13.6035,,,
Acct:160206800R0100000,427 JONES ST,,,,1982,1982,,ONE STORY,1206,$54.07 ,1206,$54.07 ,14,GOOD,0.35,"$65,210 ","$57,520 ",13.3693,,,
Acct:160206800Q0340000,428 JONES ST,,,,1982,1982,,ONE STORY,1253,$50.30 ,1253,$50.30 ,14,AVERAGE,0.4,"$63,020 ","$55,640 ",13.2638,,,
Acct:160206800R0110000,429 JONES ST,,,,1982,1982,,ONE STORY,1269,$56.79 ,1269,$56.79 ,14,VERY GOOD,0.3,"$72,070 ","$63,370 ",13.7289,,,
Acct:160206800Q0350000,430 JONES ST,,,,1982,1982,"$6,525 ",ONE STORY,1200,$56.53 ,1200,$56.53 ,14,AVERAGE,0.4,"$67,840 ","$60,720 ",11.726,,,
Acct:160206800R0120000,431 JONES ST,,,,1982,1982,,ONE STORY,1011,$57.65 ,1011,$57.65 ,14,GOOD,0.35,"$58,280 ","$51,610 ",12.9239,,,
Acct:160206800Q0320000,436 JONES ST,,,,1982,1982,,ONE STORY,1466,$40.03 ,1466,$40.03 ,14,FAIR,0.5,"$58,690 ","$51,950 ",12.974,,,
Acct:160206800R0130000,437 JONES ST,,,,1982,1982,$840 ,ONE STORY,1011,$63.70 ,1011,$63.70 ,14,VERY GOOD,0.3,"$64,400 ","$56,950 ",13.0817,,,
Acct:160206800Q0330000,438 JONES ST,,,,1982,1982,,ONE STORY,1296,$54.51 ,1296,$54.51 ,14,GOOD,0.35,"$70,650 ","$62,160 ",13.6583,,,
Acct:160206800R0140000,439 JONES ST,,,,1982,1982,,ONE STORY,1089,$54.59 ,1089,$54.59 ,14,AVERAGE,0.4,"$59,450 ","$52,600 ",13.0228,10/29/14,FORECLOSURE,"$53,000 "
Acct:160206800Q0300000,440 JONES ST,,,,1982,1982,"$1,125 ",ONE STORY,993,$55.95 ,993,$55.95 ,14,AVERAGE,0.4,"$55,560 ","$49,450 ",12.3559,,,
Acct:160206800R0150000,441 JONES ST,,,,1982,1982,,ONE STORY,1206,$52.68 ,1206,$52.68 ,14,AVERAGE,0.4,"$63,530 ","$56,080 ",13.2846,,,
Acct:160206800Q0310000,442 JONES ST,,,,1982,1982,,ONE STORY,1243,$43.73 ,1243,$43.73 ,14,FAIR,0.5,"$54,360 ","$48,260 ",12.6399,,,
Acct:160206800R0160000,443 JONES ST,,,,1982,1982,,ONE STORY,917,$60.52 ,917,$60.52 ,14,GOOD,0.35,"$55,500 ","$49,240 ",12.7132,,,
Acct:160206800Q0280000,448 JONES ST,,,,1982,1982,,ONE STORY,1011,$54.20 ,1011,$54.20 ,14,AVERAGE,0.4,"$54,800 ","$48,640 ",12.6645,,,
Acct:160206800R0170000,449 JONES ST,,,,1982,1982,,ONE STORY,917,$56.96 ,917,$56.96 ,14,AVERAGE,0.4,"$52,230 ","$46,450 ",12.4435,,,
Acct:160206800Q0290000,450 JONES ST,,,,1982,2006,,ONE STORY,1089,$79.47 ,1089,$79.47 ,14,EXCELLENT,0.05,"$86,540 ","$55,900 ",54.8122,10/28/15,MARKET SALE,"$85,000 "
Acct:160206800R0180000,451 JONES ST,,,,1982,1982,,ONE STORY,1054,$54.31 ,1054,$54.31 ,14,AVERAGE,0.4,"$57,240 ","$50,720 ",12.8549,,,
Acct:160206800Q0260000,452 JONES ST,,,,1982,1982,,ONE STORY,1206,$50.75 ,1206,$50.75 ,14,AVERAGE,0.4,"$61,200 ","$54,090 ",13.1448,,,
Acct:160206800R0190000,453 JONES ST,,,,1982,1982,"$1,536 ",ONE STORY,1252,$51.53 ,1252,$51.53 ,14,GOOD,0.35,"$64,510 ","$57,150 ",12.8784,,,
Acct:160206800Q0270000,454 JONES ST,,,,1982,1982,,ONE STORY,1464,$47.67 ,1464,$47.67 ,14,GOOD,0.35,"$69,790 ","$61,420 ",13.6275,,,
