Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:220955400A0080000,846 ASTAIRE AVE,,,,1995,1995,,TWO STORIES,1673,$62.79 ,1673,$62.79 ,14,GOOD,0.25,"$105,050 ","$94,620 ",11.023,,,
Acct:220955400A0070000,850 ASTAIRE AVE,,,,1992,1992,,ONE AND ONE HALF STORIES,1249,$55.40 ,1249,$55.40 ,14,FAIR,0.4,"$69,190 ","$67,010 ",3.2532,,,
Acct:220955400A0060000,854 ASTAIRE AVE,,,,1992,1992,,ONE AND ONE HALF STORIES,1249,$59.22 ,1249,$59.22 ,14,AVERAGE,0.35,"$73,960 ","$71,240 ",3.8181,,,
Acct:220955400A0050000,858 ASTAIRE AVE,,,,1992,1992,,ONE AND ONE HALF STORIES,1249,$63.03 ,1249,$63.03 ,14,GOOD,0.3,"$78,720 ","$75,470 ",4.3063,,,
Acct:220955400A0040000,862 ASTAIRE AVE,,,,1987,1987,,ONE AND ONE HALF STORIES,1356,$57.52 ,1356,$57.52 ,14,GOOD,0.35,"$78,000 ","$75,100 ",3.8615,,,
Acct:220955400A0030000,866 ASTAIRE AVE,,,,1987,1987,,TWO STORIES,1762,$60.02 ,1762,$60.02 ,14,EXCELLENT,0.25,"$105,760 ","$100,800 ",4.9206,,,
Acct:220955400A0020000,870 ASTAIRE AVE,,,,1987,1987,,ONE AND ONE HALF STORIES,1430,$55.71 ,1430,$55.71 ,14,GOOD,0.35,"$79,660 ","$76,700 ",3.8592,,,
Acct:220955400A0010000,874 ASTAIRE AVE,,,,1994,1994,,ONE STORY,1420,$67.93 ,1420,$67.93 ,14,GOOD,0.25,"$96,460 ","$86,990 ",10.8863,,,
Acct:220955300H0040000,902 ASTAIRE AVE,,,,1994,1994,,TWO STORIES,1634,$63.87 ,1634,$63.87 ,14,GOOD,0.25,"$104,370 ","$94,010 ",11.0201,10/27/15,CASH SALE,"$100,000 "
Acct:220955300H0030000,906 ASTAIRE AVE,,,,1985,1985,,ONE AND ONE HALF STORIES,1578,$53.59 ,1578,$53.59 ,14,GOOD,0.35,"$84,570 ","$76,430 ",10.6503,,,
Acct:220955300H0020000,910 ASTAIRE AVE,,,,1985,1985,,ONE AND ONE HALF STORIES,1019,$54.25 ,1019,$54.25 ,14,FAIR,0.5,"$55,280 ","$47,730 ",15.8181,,,
Acct:220955300H0010000,914 ASTAIRE AVE,,,,1985,1985,,ONE STORY,1094,$66.97 ,1094,$66.97 ,14,GOOD,0.35,"$73,270 ","$66,400 ",10.3464,,,
Acct:220955300G0130000,1102 COLBERT LN,,,,1986,1986,,ONE STORY,1155,$64.62 ,1155,$64.62 ,14,GOOD,0.35,"$74,640 ","$67,620 ",10.3815,,,
Acct:220955300F0210000,1103 COLBERT LN,,,,1986,2006,,TWO STORIES,1456,$80.70 ,1456,$80.70 ,14,EXCELLENT,0.05,"$117,500 ","$71,160 ",65.1209,10/15/15,MARKET SALE,"$117,000 "
Acct:220955300G0120000,1106 COLBERT LN,,,,1986,1986,,ONE AND ONE HALF STORIES,1442,$55.59 ,1442,$55.59 ,14,GOOD,0.35,"$80,160 ","$72,520 ",10.535,,,
Acct:220955300F0220000,1107 COLBERT LN,,,,1987,1987,,ONE AND ONE HALF STORIES,1239,$55.54 ,1239,$55.54 ,14,AVERAGE,0.4,"$68,810 ","$66,640 ",3.2563,,,
Acct:220955300G0110000,1110 COLBERT LN,,,,1986,1995,,ONE STORY,1155,$77.14 ,1155,$77.14 ,14,VERY GOOD,0.2,"$89,100 ","$80,450 ",10.752,,,
Acct:220955300F0230000,1111 COLBERT LN,,,,1985,1985,,ONE STORY,1122,$65.70 ,1122,$65.70 ,14,GOOD,0.35,"$73,720 ","$66,800 ",10.3593,,,
Acct:220955300G0100000,1114 COLBERT LN,,,,1995,1995,,TWO STORIES,1367,$66.42 ,1367,$66.42 ,14,GOOD,0.25,"$90,800 ","$81,960 ",10.7857,,,
Acct:220955300F0240000,1115 COLBERT LN,,,,1988,1988,,TWO STORIES,1660,$51.40 ,1660,$51.40 ,14,FAIR,0.4,"$85,330 ","$77,110 ",10.6601,10/5/12,SHORT SALE,"$53,500 "
Acct:220955300G0090000,1118 COLBERT LN,,,,1995,1995,,ONE STORY,1372,$64.74 ,1372,$64.74 ,14,AVERAGE,0.3,"$88,820 ","$80,210 ",10.7343,,,
Acct:220955300F0250000,1119 COLBERT LN,,,,1995,1995,,TWO STORIES,1321,$68.50 ,1321,$68.50 ,14,GOOD,0.25,"$90,490 ","$81,690 ",10.7724,,,
Acct:220955300G0080000,1122 COLBERT LN,,,,1995,1995,,TWO STORIES,1703,$57.15 ,1703,$57.15 ,14,AVERAGE,0.3,"$97,320 ","$87,760 ",10.8933,,,
Acct:220955300F0260000,1123 COLBERT LN,,,,1995,1995,,TWO STORIES,1545,$56.92 ,1545,$56.92 ,14,FAIR,0.35,"$87,940 ","$79,430 ",10.7138,,,
Acct:220955300G0070000,1126 COLBERT LN,,,,1995,1995,,ONE AND ONE HALF STORIES,1311,$65.02 ,1311,$65.02 ,14,GOOD,0.25,"$85,240 ","$77,030 ",10.6582,,,
Acct:220955300F0270000,1127 COLBERT LN,,,,1995,1995,,TWO STORIES,1793,$56.45 ,1793,$56.45 ,14,AVERAGE,0.3,"$101,220 ","$91,220 ",10.9625,,,
Acct:220955300G0060000,1130 COLBERT LN,,,,1995,1995,,TWO STORIES,1673,$63.75 ,1673,$63.75 ,14,GOOD,0.25,"$106,660 ","$96,040 ",11.0579,,,
Acct:220955300F0280000,1131 COLBERT LN,,,,1995,1995,,TWO STORIES,1321,$68.50 ,1321,$68.50 ,14,GOOD,0.25,"$90,490 ","$81,690 ",10.7724,,,
Acct:220955300G0050000,1134 COLBERT LN,,,,1995,1995,,TWO STORIES,1673,$62.79 ,1673,$62.79 ,14,GOOD,0.25,"$105,050 ","$94,620 ",11.023,,,
Acct:220955300F0290000,1135 COLBERT LN,,,,1995,1995,,TWO STORIES,1673,$62.79 ,1673,$62.79 ,14,GOOD,0.25,"$105,050 ","$94,620 ",11.023,,,
Acct:220955300G0040000,1138 COLBERT LN,,,,1995,1995,,TWO STORIES,1367,$66.42 ,1367,$66.42 ,14,GOOD,0.25,"$90,800 ","$81,960 ",10.7857,,,
Acct:220955300F0300000,1139 COLBERT LN,,,,1995,1995,,TWO STORIES,1291,$71.97 ,1291,$71.97 ,14,VERY GOOD,0.2,"$92,910 ","$88,330 ",5.1851,11/26/14,MARKET SALE,"$90,500 "
Acct:220955300G0030000,1142 COLBERT LN,,,,1995,1995,,TWO STORIES,1367,$66.42 ,1367,$66.42 ,14,GOOD,0.25,"$90,800 ","$81,960 ",10.7857,,,
Acct:220955300F0310000,1143 COLBERT LN,,,,1995,1995,,TWO STORIES,1793,$56.45 ,1793,$56.45 ,14,AVERAGE,0.3,"$101,220 ","$91,220 ",10.9625,,,
Acct:220955300G0020000,1146 COLBERT LN,,,,1995,2000,,ONE STORY,1378,$80.66 ,1378,$80.66 ,14,EXCELLENT,0.1,"$111,150 ","$100,030 ",11.1167,,,
Acct:220955300F0320000,1147 COLBERT LN,,,,1996,1996,,ONE AND ONE HALF STORIES,1192,$59.77 ,1192,$59.77 ,14,FAIR,0.35,"$71,240 ","$64,600 ",10.2786,,,
