Account Number,Property Address,Permit Codes,Permit Amt,Contrib Amt,Yr Built,Eff Yr Built,Addl Impr Amt,Num Stories,Tot Liv Area SF,Tot Living PSF,Living Area,Living Area PSF,Bldg Class,Desirability,Depr Pct,Market Val,Prior Mkt Val,Mkt Change Pct,Sale Date,Sale Desc,Adj Sale Price
Acct:00000644674000000,6233 SONGWOOD DR,,,,1962,1962,,ONE STORY,1266,$48.23 ,1266,$48.23 ,14,AVERAGE,0.5,"$61,060 ","$53,830 ",13.4312,,,
Acct:00000644530000000,6234 SONGWOOD DR,,,,1962,1962,"$9,702 ",ONE STORY,1748,$43.28 ,1286,$58.83 ,14,VERY GOOD,0.4,"$75,650 ","$59,720 ",26.6745,,,
Acct:00000644671000000,6239 SONGWOOD DR,,,,1962,1962,,ONE STORY,1311,$50.47 ,1311,$50.47 ,14,GOOD,0.45,"$66,160 ","$58,210 ",13.6574,,,
Acct:00000644527000000,6240 SONGWOOD DR,,,,1962,1962,"$11,400 ",ONE STORY,1652,$39.12 ,1232,$52.46 ,14,AVERAGE,0.5,"$64,630 ","$58,520 ",10.4409,,,
Acct:00000644668000000,6245 SONGWOOD DR,,,,1962,1962,"$1,200 ",ONE STORY,1248,$53.15 ,1248,$53.15 ,14,GOOD,0.45,"$66,330 ","$58,520 ",13.3459,,,
Acct:00000644524000000,6246 SONGWOOD DR,,,,1962,1962,,ONE STORY,1576,$38.07 ,1576,$38.07 ,14,GOOD,0.45,"$60,000 ","$59,000 ",1.6949,,,
Acct:00000644521000000,6250 SONGWOOD DR,,,,1962,1962,,ONE STORY,1265,$52.27 ,1265,$52.27 ,14,GOOD,0.45,"$66,120 ","$58,180 ",13.6473,,,
Acct:00000644518000000,6306 SONGWOOD DR,,,,1962,1962,"$2,880 ",ONE STORY,1526,$42.33 ,1334,$48.43 ,14,AVERAGE,0.5,"$64,600 ","$57,290 ",12.7596,,,
Acct:00000644662000000,6309 SONGWOOD DR,,,,1962,1962,,ONE STORY,1038,$55.40 ,1038,$55.40 ,14,GOOD,0.45,"$57,510 ","$50,790 ",13.231,,,
Acct:00000644515000000,6310 SONGWOOD DR,,,,1962,1962,"$12,792 ",ONE STORY,1588,$42.50 ,1188,$56.81 ,14,GOOD,0.45,"$67,490 ","$61,170 ",10.3319,,,
Acct:00000644512000000,6314 SONGWOOD DR,,,,1962,1962,,ONE STORY,1311,$46.58 ,1311,$46.58 ,14,AVERAGE,0.5,"$61,060 ","$53,830 ",13.4312,,,
Acct:00000644659000000,6315 SONGWOOD DR,,,,1962,1962,"$1,872 ",ONE STORY,1256,$50.01 ,1256,$50.01 ,14,AVERAGE,0.5,"$62,810 ","$55,600 ",12.9676,,,
Acct:00000644509000000,6318 SONGWOOD DR,,,,1962,1962,$798 ,ONE STORY,1343,$49.47 ,1343,$49.47 ,14,GOOD,0.45,"$66,440 ","$58,570 ",13.4369,,,
